City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alofi,-19.0595,-169.9187,84.09,65,75,12.66,NU,1636512067
Dawson Creek,55.7666,-120.2362,26.56,93,20,2.3,CA,1636512067
Pangnirtung,66.1451,-65.7125,1.27,71,13,5.95,CA,1636512001
La Palma,33.8464,-118.0467,65.17,85,75,5.01,US,1636511857
Biritiba-Mirim,-23.5698,-46.0407,65.08,96,100,3.02,BR,1636512069
Avarua,-21.2078,-159.775,78.85,69,40,12.66,CK,1636511910
Saint Paul Harbor,57.79,-152.4072,31.1,74,87,4.45,US,1636511890
Honiara,-9.4333,159.95,89.58,59,4,9.24,SB,1636512070
Necochea,-38.5473,-58.7368,49.84,91,0,10.2,AR,1636512070
San Cristobal,7.7669,-72.225,68.18,97,42,0.96,VE,1636511904
Tuktoyaktuk,69.4541,-133.0374,17.6,86,75,14.97,CA,1636511888
Khorosheve,49.8528,36.2195,28.72,68,0,8.99,UA,1636512071
Shingū,33.7333,135.9833,63.59,53,32,13.98,JP,1636512072
Ilulissat,69.2167,-51.1,6.82,61,9,16.11,GL,1636511940
Chokurdakh,70.6333,147.9167,-11.94,90,82,7.92,RU,1636511892
Hithadhoo,-0.6,73.0833,83.35,74,96,19.53,MV,1636511934
Thompson,55.7435,-97.8558,26.76,86,75,6.91,CA,1636511929
São Filipe,14.8961,-24.4956,75.16,80,100,17.29,CV,1636511988
Mar del Plata,-38.0023,-57.5575,55.87,91,40,5.01,AR,1636511940
Padang,-0.9492,100.3543,77.05,92,100,4.25,ID,1636511983
Carnarvon,-24.8667,113.6333,73.47,46,0,20.71,AU,1636511879
Hermanus,-34.4187,19.2345,57.9,78,38,4.0,ZA,1636511870
Saint-Joseph,-21.3667,55.6167,73.2,79,33,7.94,RE,1636511960
Coahuayana Viejo,18.7333,-103.6833,80.08,88,15,2.21,MX,1636512075
Hobart,-42.8794,147.3294,58.12,92,75,1.01,AU,1636511808
Natchitoches,31.7668,-93.1335,55.36,94,1,3.44,US,1636512076
Kargasok,59.0556,80.8572,30.87,96,100,13.53,RU,1636511976
Christchurch,-43.5333,172.6333,69.33,67,75,8.01,NZ,1636511987
New Norfolk,-42.7826,147.0587,56.75,78,95,1.99,AU,1636511720
Dikson,73.5069,80.5464,-5.55,98,52,4.65,RU,1636511869
Torbay,47.6666,-52.7314,41.76,94,20,9.22,CA,1636511939
Honningsvåg,70.9821,25.9704,32.77,82,85,20.89,NO,1636512078
Lianzhou,24.7811,112.3825,63.7,39,2,5.41,CN,1636512078
Grand Gaube,-20.0064,57.6608,76.37,72,2,3.0,MU,1636512000
Caceres,39.522,-6.3748,51.8,66,0,3.89,ES,1636512079
Phatthalung,7.5,100.0833,76.95,87,100,10.94,TH,1636512080
Saint-Philippe,-21.3585,55.7679,74.21,82,57,10.22,RE,1636511911
Lompoc,34.6391,-120.4579,64.13,90,90,3.44,US,1636512009
Remedios,22.4947,-79.5458,67.12,64,65,9.95,CU,1636512082
Bariloche,-41.1456,-71.3082,55.15,58,20,17.27,AR,1636511943
Kota Bharu,6.1333,102.2386,75.2,100,40,3.0,MY,1636512082
Takoradze,4.8845,-1.7554,78.08,86,100,6.04,GH,1636511952
Cayenne,4.9333,-52.3333,79.09,87,90,2.3,GF,1636511938
Faanui,-16.4833,-151.75,80.17,72,14,12.48,PF,1636511891
Narsaq,60.9167,-46.05,16.02,72,1,5.73,GL,1636512083
Paita,-5.0892,-81.1144,63.99,85,88,12.26,PE,1636512084
Barrow,71.2906,-156.7887,21.22,86,90,13.8,US,1636511861
Port Lincoln,-34.7333,135.8667,60.46,47,52,19.06,AU,1636511894
Bengkulu,-3.8004,102.2655,73.85,93,100,4.74,ID,1636511909
Karpathos,35.507,27.2132,67.96,77,100,23.02,GR,1636512085
Clyde River,70.4692,-68.5914,12.69,87,84,13.02,CA,1636512085
Māndleshwar,22.1833,75.6667,70.79,41,48,5.44,IN,1636512086
Nanortalik,60.1432,-45.2371,17.83,71,1,9.64,GL,1636511883
Cheney,47.4874,-117.5758,39.22,77,20,13.8,US,1636512087
Kavieng,-2.5744,150.7967,85.66,67,31,17.29,PG,1636511880
Bluff,-46.6,168.3333,59.4,77,100,10.4,NZ,1636511858
Pierre,44.3683,-100.351,47.86,67,1,5.99,US,1636512088
Rock Springs,41.5875,-109.2029,38.23,90,90,5.01,US,1636511964
Hofn,64.2539,-15.2082,40.5,64,96,8.41,IS,1636511946
Lebu,-37.6167,-73.65,49.68,90,8,5.03,CL,1636511944
Sakakah,29.9697,40.2064,56.77,18,0,3.06,SA,1636512089
Chapais,49.7834,-74.8492,31.78,83,90,3.91,CA,1636512024
Port Alfred,-33.5906,26.891,59.5,83,30,5.12,ZA,1636511898
Rindal,63.0565,9.2124,33.64,79,88,7.23,NO,1636512090
Malko Tarnovo,41.9833,27.5333,42.78,89,45,10.83,BG,1636512090
Quatre Cocos,-20.2078,57.7625,76.08,69,8,10.09,MU,1636512091
Weligama,5.9667,80.4167,80.35,80,100,14.94,LK,1636512091
Cotonou,6.3654,2.4183,82.38,83,40,5.75,BJ,1636511883
Laibin,23.7,109.2667,63.52,36,70,9.31,CN,1636512092
Río Gallegos,-51.6226,-69.2181,55.45,35,0,8.05,AR,1636511961
Teya,60.3778,92.6267,27.52,87,100,13.22,RU,1636512092
Calvinia,-31.4707,19.776,59.16,34,0,3.18,ZA,1636512093
Pemberton,50.3164,-122.8027,40.86,97,99,5.84,CA,1636512093
Santa Isabel Rio Negro,-0.4139,-65.0192,73.6,98,100,1.97,BR,1636512094
Basco,20.4487,121.9702,76.6,80,100,23.96,PH,1636512094
Coquimbo,-29.9533,-71.3436,55.13,94,40,2.3,CL,1636511951
Poum,-20.2333,164.0167,77.47,79,96,7.83,NC,1636512095
Chui,-33.6971,-53.4616,57.63,82,3,6.6,UY,1636511959
Kavaratti,10.5669,72.642,81.91,70,100,5.57,IN,1636511893
Aldan,58.6031,125.3894,20.97,93,100,4.63,RU,1636512096
Dubuque,42.4833,-90.8668,49.12,58,1,6.91,US,1636511909
Souillac,-20.5167,57.5167,76.35,83,20,5.75,MU,1636512028
Joliet,41.525,-88.0817,51.21,88,1,0.0,US,1636511825
Maltahöhe,-24.8333,16.9833,59.85,20,20,8.68,NA,1636512097
Guerrero Negro,27.9769,-114.0611,64.18,76,0,13.96,MX,1636512098
Butaritari,3.0707,172.7902,82.33,71,47,15.14,KI,1636511908
Fairbanks,64.8378,-147.7164,16.14,79,90,6.91,US,1636512099
Alta Floresta,-9.8756,-56.0861,71.62,99,100,3.91,BR,1636511979
Nouakchott,18.0858,-15.9785,71.53,68,95,15.52,MR,1636512099
Kahului,20.8947,-156.47,84.22,72,40,10.36,US,1636511988
Mayor Pablo Lagerenza,-19.9309,-60.7718,74.86,80,43,2.06,PY,1636512100
Bilma,18.6853,12.9164,72.99,16,36,6.67,NE,1636511874
Kaitangata,-46.2817,169.8464,63.93,81,100,5.66,NZ,1636512007
Colorado Springs,38.8339,-104.8214,50.67,64,20,1.99,US,1636511559
Yatou,37.15,122.3833,51.03,47,77,20.36,CN,1636512102
Erdaojiang,41.7764,126.0319,25.83,83,100,6.67,CN,1636512102
Bay Roberts,47.5999,-53.2648,42.51,94,20,4.0,CA,1636512103
Ancud,-41.8697,-73.8203,51.42,87,45,11.27,CL,1636512103
Pangody,65.85,74.4859,9.46,91,100,11.07,RU,1636511986
Amuntai,-2.4177,115.2494,86.95,73,100,1.07,ID,1636512104
Bafia,4.75,11.2333,68.58,97,95,2.21,CM,1636512104
Baghdad,33.3406,44.4009,49.91,50,0,2.3,IQ,1636511961
Pereira Barreto,-20.6383,-51.1092,75.33,79,57,5.68,BR,1636512105
Norman Wells,65.282,-126.8329,17.64,73,75,21.85,CA,1636511868
Vila Velha,-20.3297,-40.2925,76.95,95,90,5.75,BR,1636511808
Khatanga,71.9667,102.5,6.15,94,100,12.75,RU,1636511877
Mahibadhoo,3.7833,72.9667,82.17,74,100,14.81,MV,1636512106
Mapiripán,2.8892,-72.1256,73.36,94,78,2.57,CO,1636512106
Kargil,34.5667,76.1,20.82,46,0,1.74,IN,1636512107
Tromsø,69.6496,18.957,41.02,65,90,20.71,NO,1636512108
Chimoio,-19.1164,33.4833,70.02,87,80,8.81,MZ,1636512108
Iracoubo,5.4802,-53.2011,76.46,88,100,5.3,GF,1636511992
Kandrian,-6.2167,149.55,87.53,57,33,11.72,PG,1636512109
Stornoway,58.2093,-6.3865,46.92,87,75,8.05,GB,1636511894
Oussouye,12.485,-16.5469,76.89,73,52,6.64,SN,1636512110
Solnechnyy,50.7214,136.6319,26.67,88,100,10.6,RU,1636511934
Skibbereen,51.55,-9.2667,49.8,93,100,4.47,IE,1636512111
Pontes e Lacerda,-15.2261,-59.3353,73.53,96,100,1.21,BR,1636512111
Sumbawanga,-7.9667,31.6167,66.0,59,20,0.0,TZ,1636512112
Velsk,61.0701,42.0983,25.45,76,100,6.35,RU,1636512112
Nikolskoye,59.7035,30.7861,36.88,59,94,12.68,RU,1636511904
Ardakān,32.31,54.0175,46.78,48,3,4.41,IR,1636512113
Canberra,-35.2835,149.1281,69.75,78,90,4.0,AU,1636512113
Kuressaare,58.2481,22.5039,47.95,100,90,13.0,EE,1636512113
Batagay-Alyta,67.8006,130.4114,5.25,96,100,1.1,RU,1636512114
São José da Coroa Grande,-8.8978,-35.1478,78.73,77,91,8.39,BR,1636512114
Gondanglegi,-7.7479,112.0132,86.79,62,100,15.52,ID,1636511920
Derzhavīnsk,51.1,66.3167,35.37,63,100,20.29,KZ,1636512115
Ribeira Grande,38.5167,-28.7,67.12,78,28,11.95,PT,1636511868
Santa Rosa,14.3122,121.1114,87.85,59,100,12.28,PH,1636511997
Hualmay,-11.0964,-77.6139,63.5,87,53,9.53,PE,1636512116
Faya,18.3851,42.4509,51.91,44,1,1.36,SA,1636511931
Port Blair,11.6667,92.75,80.64,83,75,5.75,IN,1636511914
Flin Flon,54.7682,-101.865,25.7,70,41,3.67,CA,1636511935
Sørland,67.667,12.6934,44.78,79,100,35.9,NO,1636512008
Coyhaique,-45.5752,-72.0662,55.35,62,0,2.3,CL,1636511818
Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,48,40,4.47,RU,1636512118
Peniche,39.3558,-9.3811,61.61,76,0,3.91,PT,1636512118
Sisimiut,66.9395,-53.6735,14.05,86,92,7.38,GL,1636512119
Alice Springs,-23.7,133.8833,72.95,88,90,6.91,AU,1636511984
Diamantino,-14.4086,-56.4461,73.96,93,100,3.4,BR,1636511870
Sombrio,-29.1139,-49.6167,60.93,82,42,3.44,BR,1636512120
Mount Gambier,-37.8333,140.7667,58.91,51,75,12.66,AU,1636512120
Cockburn Town,21.4612,-71.1419,80.98,75,18,15.64,TC,1636511918
Bonthe,7.5264,-12.505,77.92,86,54,2.28,SL,1636512122
Matara,5.9485,80.5353,80.44,80,100,14.38,LK,1636512016
Bayanday,53.0661,105.5139,24.89,80,66,2.75,RU,1636512122
Ponta do Sol,32.6667,-17.1,66.83,72,16,2.95,PT,1636511877
Nemuro,43.3236,145.575,59.43,95,98,24.47,JP,1636512123
Bonavista,48.6499,-53.1147,45.12,88,96,13.67,CA,1636512022
São Félix do Xingu,-6.6447,-51.995,71.31,99,100,0.94,BR,1636512124
Xining,36.6167,101.7667,28.47,55,29,1.72,CN,1636511947
Antalaha,-14.9003,50.2788,74.7,86,75,2.57,MG,1636512125
Talnakh,69.4865,88.3972,-1.08,97,100,6.51,RU,1636511898
Ust-Nera,64.5667,143.2,-4.95,95,79,2.75,RU,1636512011
Dunedin,-45.8742,170.5036,57.79,90,100,4.92,NZ,1636511871
Tessalit,20.1986,1.0114,62.55,18,55,10.51,ML,1636511873
Ossora,59.2353,163.0719,18.63,81,96,4.38,RU,1636511901
Las Matas de Farfán,18.8731,-71.5166,71.35,92,82,0.2,DO,1636512127
Kuantan,3.8077,103.326,80.71,83,20,1.14,MY,1636512127
Grindavik,63.8424,-22.4338,35.91,91,100,8.66,IS,1636511957
Vila,42.0304,-8.1588,45.32,78,0,3.06,PT,1636512128
Broome,42.2506,-75.833,55.56,76,90,0.0,US,1636512128
Camaquã,-30.8511,-51.8122,56.17,91,8,1.72,BR,1636512129
Taltal,-25.4,-70.4833,59.74,79,12,0.31,CL,1636512020
Petatlán,17.5167,-101.2667,82.2,92,28,2.98,MX,1636512130
Sakaiminato,35.55,133.2333,55.33,71,75,16.11,JP,1636512130
Creel,27.75,-107.6333,49.24,40,1,2.98,MX,1636512131
Doka,13.5167,35.7667,75.56,40,6,2.51,SD,1636512131
Pisco,-13.7,-76.2167,64.02,88,0,12.66,PE,1636511900
Locri,38.2414,16.2623,70.16,88,59,15.3,IT,1636512132
Saldanha,-33.0117,17.9442,51.85,82,25,12.66,ZA,1636511892
Leningradskiy,69.3833,178.4167,3.43,90,87,3.78,RU,1636512133
Sobolevo,54.4299,31.8996,26.96,81,78,5.32,RU,1636512133
Zhicheng,30.2956,111.5047,61.34,47,0,2.19,CN,1636512134
Walvis Bay,-22.9575,14.5053,55.09,93,0,6.91,NA,1636512134
Tahoua,14.8888,5.2692,78.15,15,1,5.28,NE,1636512135
Port Hedland,-20.3167,118.5667,89.65,12,1,14.97,AU,1636512135
Lüderitz,-26.6481,15.1594,60.01,65,0,13.85,NA,1636511903
Shakawe,-18.3667,21.85,74.66,51,100,1.66,BW,1636512136
Bouna,9.2667,-3.0,76.05,78,76,4.56,CI,1636512136
Muros,42.7762,-9.0603,56.23,85,1,6.51,ES,1636512137
East London,-33.0153,27.9116,59.23,85,3,7.76,ZA,1636511863
Marshall,34.3834,-86.3333,60.62,67,1,0.0,US,1636512138
Arraial do Cabo,-22.9661,-42.0278,69.44,86,100,8.81,BR,1636511905
Port-Cartier,50.0334,-66.8654,39.42,63,1,13.22,CA,1636512065
Kumul,42.8,93.45,29.79,44,0,3.4,CN,1636512138
Kangaatsiaq,68.3065,-53.4641,11.3,92,97,10.04,GL,1636512139
Perth,-31.9333,115.8333,69.67,43,0,8.05,AU,1636511846
Umm Hājar,13.2954,19.6966,80.01,14,0,8.59,TD,1636512140
San Quintín,30.4833,-115.95,62.73,83,0,14.16,MX,1636511871
Belaya Gora,68.5333,146.4167,-13.0,91,27,4.92,RU,1636512140
Kutum,14.2,24.6667,69.21,27,6,5.66,SD,1636512141
Jalingo,8.8833,11.3667,78.33,71,63,1.39,NG,1636511967
La Grande,45.3246,-118.0877,40.59,79,44,3.89,US,1636511941
Yumen,40.2833,97.2,27.61,37,0,5.55,CN,1636512142
Ambon City,-3.6954,128.1814,87.94,70,20,8.05,ID,1636511897
Scărişoara,44.0,24.5667,42.67,89,3,5.79,RO,1636512143
Provideniya,64.3833,-173.3,15.91,73,0,4.47,RU,1636511962
Tasiilaq,65.6145,-37.6368,26.76,66,100,4.99,GL,1636511917
Jalu,29.0331,21.5482,68.05,41,100,9.75,LY,1636512143
Farmington,36.7281,-108.2187,50.68,62,90,14.97,US,1636512031
Sitka,57.0531,-135.33,40.89,75,90,0.0,US,1636511978
Kudahuvadhoo,2.6708,72.8944,82.78,70,69,16.22,MV,1636512144
Sur,22.5667,59.5289,77.88,54,3,9.37,OM,1636511907
Mareeba,-17.0,145.4333,91.44,53,44,10.11,AU,1636512145
San Patricio,28.017,-97.5169,75.06,73,100,8.03,US,1636511944
Novoseleznëvo,55.6821,69.2056,34.66,98,100,11.12,RU,1636512146
Pathein,16.7833,94.7333,81.84,75,100,7.49,MM,1636512146
Ugoofaaru,5.6667,73.0,81.68,78,100,14.03,MV,1636512147
Iskateley,67.6803,53.1512,15.1,92,17,6.96,RU,1636512147
Katsuura,35.1333,140.3,69.19,51,99,34.2,JP,1636511687
Campos Belos,-13.0367,-46.7717,69.84,93,100,1.32,BR,1636511879
Atuona,-9.8,-139.0333,78.48,75,6,18.5,PF,1636511868
Bako,5.7833,36.5667,63.43,83,94,4.36,ET,1636512148
Trelew,-43.249,-65.3051,55.99,61,57,27.56,AR,1636511902
South River,40.4465,-74.386,62.49,69,62,4.16,US,1636512149
San Miguel de Cozumel,20.5083,-86.9458,73.0,72,1,5.99,MX,1636512016
Pitimbu,-7.4706,-34.8086,79.39,76,71,9.8,BR,1636512150
Iqaluit,63.7506,-68.5145,8.33,78,40,13.0,CA,1636511882
Jagdalpur,19.0667,82.0333,67.75,67,100,6.62,IN,1636512151
Avera,33.194,-82.5271,64.27,41,87,5.5,US,1636512151
Koslan,63.4564,48.8989,16.88,96,33,3.27,RU,1636512152
Camaná,-16.6228,-72.7111,65.39,83,87,5.59,PE,1636512012
Dongkan,33.9997,119.8308,50.36,45,0,14.43,CN,1636511954
Mpigi,0.225,32.3136,70.61,89,63,3.38,UG,1636512153
Comodoro Rivadavia,-45.8667,-67.5,71.46,43,0,13.8,AR,1636512153
Srednekolymsk,67.45,153.6833,-16.74,95,5,3.74,RU,1636511922
Arlit,18.7369,7.3853,74.32,19,39,9.31,NE,1636512027
Dauphin,51.1494,-100.0502,23.14,74,1,3.44,CA,1636512154
Mudgee,-32.5943,149.5871,68.05,100,75,4.61,AU,1636512155
Carbonia,39.1672,8.5222,61.45,88,100,8.5,IT,1636512155
Lincoln,40.8,-96.667,51.3,60,1,4.0,US,1636512150
Kallithea,37.95,23.7,62.82,66,100,15.99,GR,1636512156
Abu Samrah,35.3029,37.1841,59.34,32,42,4.79,SY,1636512156
Eilat,29.5581,34.9482,67.84,45,0,4.61,IL,1636512157
Senneterre,48.3835,-77.2328,32.22,85,100,4.65,CA,1636512157
Upernavik,72.7868,-56.1549,13.59,84,100,12.8,GL,1636511910
Mount Isa,-20.7333,139.5,94.77,34,75,12.66,AU,1636511887
Kundiawa,-6.0167,144.9667,75.58,72,90,2.53,PG,1636512158
Onega,63.9061,38.1404,29.39,89,100,14.5,RU,1636512159
Las Palmas,28.4204,-14.0131,61.59,72,100,8.05,ES,1636512159
Baiyin,36.5583,104.2081,31.08,23,0,4.36,CN,1636512160
Laguna,38.421,-121.4238,60.64,88,90,1.01,US,1636511885
Meulaboh,4.1363,96.1285,82.65,70,100,1.12,ID,1636511958
Kruisfontein,-34.0033,24.7314,52.83,78,5,4.14,ZA,1636512161
Izumi,34.4833,135.4333,62.35,54,40,19.57,JP,1636512161
Saravan,39.7196,45.6483,25.45,62,9,3.98,AM,1636512162
Bida,9.0833,6.0167,76.82,83,2,2.75,NG,1636512163
Morro Bay,35.3658,-120.8499,63.48,95,87,2.77,US,1636512163
Morgan City,29.6994,-91.2068,60.01,100,1,0.0,US,1636512164
Bukachacha,52.9833,116.9167,29.32,50,3,11.79,RU,1636512164
Camacha,33.0833,-16.3333,63.36,94,75,3.44,PT,1636512164
Amga,60.8953,131.9608,24.03,93,97,3.6,RU,1636512165
Kailua,21.4022,-157.7394,80.58,65,90,4.61,US,1636512165
Tuatapere,-46.1333,167.6833,61.14,73,100,6.06,NZ,1636512021
Timrå,62.487,17.3257,35.67,96,90,3.44,SE,1636512166
Codrington,-38.2667,141.9667,56.89,50,24,15.55,AU,1636511899
Koygorodok,60.445,50.9968,20.68,88,100,8.81,RU,1636512167
Jamame,0.0722,42.7506,75.58,86,15,6.71,SO,1636512037
Cam Ranh,11.9214,109.1591,76.96,94,75,6.91,VN,1636512167
Canutama,-6.5339,-64.3831,74.7,86,23,2.15,BR,1636512168
Turukhansk,65.8167,87.9833,15.01,90,100,9.82,RU,1636512169
Touros,-5.1989,-35.4608,79.7,76,82,10.83,BR,1636512169
Natal,-5.795,-35.2094,80.82,78,75,8.05,BR,1636511808
Aripuanã,-9.1667,-60.6333,72.9,97,90,2.3,BR,1636512170
Kalabo,-14.97,22.6814,76.12,50,83,9.04,ZM,1636512170
Fort Nelson,58.8053,-122.7002,20.79,93,90,3.44,CA,1636511967
Nago,26.5881,127.9761,70.65,53,86,12.24,JP,1636512171
Kirakira,-10.4544,161.9205,86.56,69,7,12.12,SB,1636512172
Cap Malheureux,-19.9842,57.6142,76.46,72,2,3.0,MU,1636512172
Tura,25.5198,90.2201,73.09,63,4,1.25,IN,1636512173
Ikalamavony,-21.15,46.5833,73.18,65,0,3.13,MG,1636512173
Prince Rupert,54.3161,-130.3201,44.29,81,100,2.3,CA,1636512174
Jacareacanga,-6.2222,-57.7528,73.0,99,100,2.57,BR,1636512174
Salym,60.0625,71.4789,34.27,98,100,8.01,RU,1636512175
Cheb,50.0796,12.3739,39.56,94,89,4.25,CZ,1636511998
Ostrovnoy,68.0531,39.5131,27.54,85,100,23.17,RU,1636511973
Melilla,35.2937,-2.9383,52.18,87,0,2.3,ES,1636512036
Anadyr,64.75,177.4833,23.5,86,75,4.47,RU,1636511999
Sojat,25.9167,73.6667,76.32,24,13,3.27,IN,1636512176
Yaring,6.8662,101.3689,75.24,92,100,10.09,TH,1636512177
Lashio,22.9333,97.75,74.3,73,44,1.01,MM,1636512177
Novo Aripuanã,-5.1206,-60.3797,73.78,96,100,3.22,BR,1636512178
Southbridge,42.0751,-72.0334,56.98,81,56,3.18,US,1636512178
Abhā,18.2164,42.5053,51.62,43,0,0.0,SA,1636511985
Tilichiki,60.4667,166.1,10.26,92,8,5.93,RU,1636512179
Arkhipo-Osipovka,44.37,38.52,43.54,89,100,19.82,RU,1636512179
The Valley,18.217,-63.0578,81.1,71,13,13.73,AI,1636512162
Shimsk,58.212,30.7127,31.75,64,72,12.5,RU,1636512180
Khanpur,28.6453,70.6567,76.37,19,2,8.59,PK,1636512181
Half Moon Bay,37.4636,-122.4286,61.92,91,90,4.61,US,1636512181
Waipawa,-41.4122,175.5153,65.03,46,4,5.68,NZ,1636511876
Manoel Urbano,-8.8389,-69.2597,72.45,99,100,1.61,BR,1636512183
Madison,34.7334,-86.5667,59.5,82,1,0.0,US,1636512035
Port-Gentil,-0.7193,8.7815,77.77,88,100,7.74,GA,1636512184
Lata,40.1629,-8.3327,53.04,66,0,3.67,PT,1636512184
Havre-St-Pierre,50.2334,-63.5986,44.6,70,1,18.41,CA,1636512185
Cherskiy,68.75,161.3,-3.84,100,88,5.61,RU,1636512185
Baharly,38.4362,57.4316,47.34,32,0,7.25,TM,1636512186
Oistins,13.0667,-59.5333,80.69,69,20,13.8,BB,1636511703
Mutsu,41.2894,141.2169,60.01,62,20,13.82,JP,1636511954
Ordu,40.9086,37.6845,46.9,96,100,10.47,TR,1636512187
Rocha,-34.4833,-54.3333,52.7,93,21,2.66,UY,1636512008
Svetlaya,46.5389,138.3297,47.39,71,100,4.14,RU,1636512019
Zdvinsk,54.7021,78.661,31.68,71,78,16.42,RU,1636512187
Puerto Carreño,6.189,-67.4859,78.4,68,100,4.7,CO,1636511879
Nurota,40.5614,65.6886,30.29,63,100,2.26,UZ,1636512189
Linköping,58.4109,15.6216,51.78,90,90,11.5,SE,1636512189
Safi,32.2994,-9.2372,59.13,74,0,7.45,MA,1636512190
Poso,-1.3959,120.7524,86.43,67,64,5.19,ID,1636511985
Port Augusta,-32.5,137.7667,72.72,44,98,22.17,AU,1636512191
Holiday,28.1878,-82.7395,69.98,81,95,1.01,US,1636512056
Dingle,10.9995,122.6711,84.02,78,100,10.45,PH,1636511937
Potsdam,52.3989,13.0657,43.48,91,4,4.52,DE,1636512192
Qaqortoq,60.7167,-46.0333,16.3,77,0,4.9,GL,1636512192
Tabou,4.423,-7.3528,77.27,89,32,5.3,CI,1636512193
Baft,29.234,56.6057,42.73,70,2,1.86,IR,1636512193
Manta,-0.95,-80.7333,71.38,83,90,10.36,EC,1636512194
Forsytheganj,52.6333,29.7333,27.01,71,56,4.36,BY,1636512194
Chicama,-7.8447,-79.1469,65.19,80,92,6.06,PE,1636512195
Kondinskoye,59.6481,67.41,33.98,98,100,7.72,RU,1636512195
Hesla,24.0667,85.8833,70.68,56,48,3.76,IN,1636512195
Tataouine,32.9297,10.4518,52.68,50,0,7.85,TN,1636512196
Wanxian,30.8039,108.3897,56.41,63,0,1.54,CN,1636512196
Yar-Sale,66.8333,70.8333,5.43,97,76,8.43,RU,1636512197
Constitución,-35.3333,-72.4167,50.63,90,28,6.38,CL,1636512198
Camaçari,-12.6975,-38.3242,78.57,93,29,4.47,BR,1636512198
Edd,13.9297,41.6925,83.21,42,11,10.65,ER,1636512199
Hong Kong,22.2855,114.1577,73.04,41,38,1.01,HK,1636512099
Imuris,30.7833,-110.8667,62.76,28,0,4.09,MX,1636512199
Vestmannaeyjar,63.4427,-20.2734,40.73,72,100,22.55,IS,1636511964
Salalah,17.0151,54.0924,80.69,44,0,6.91,OM,1636512024
Port Hardy,50.6996,-127.4199,46.4,81,75,10.36,CA,1636512200
Bathsheba,13.2167,-59.5167,81.21,69,20,13.8,BB,1636512201
Havøysund,70.9963,24.6622,29.28,82,74,9.1,NO,1636512018
